Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P49354	reviewed	FNTA_HUMAN	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha, EC 2.5.1.58, EC 2.5.1.59 (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha, GGTase-I-alpha)	FNTA	Homo sapiens (Human)	379
P49356	reviewed	FNTB_HUMAN	Protein farnesyltransferase subunit beta, FTase-beta, EC 2.5.1.58 (CAAX farnesyltransferase subunit beta) (Ras proteins prenyltransferase subunit beta)	FNTB	Homo sapiens (Human)	437
P49366	reviewed	DHYS_HUMAN	Deoxyhypusine synthase, DHS, EC 2.5.1.46	DHPS DS	Homo sapiens (Human)	369
P49368	reviewed	TCPG_HUMAN	T-complex protein 1 subunit gamma, TCP-1-gamma (CCT-gamma) (hTRiC5)	CCT3 CCTG TRIC5	Homo sapiens (Human)	545
P49407	reviewed	ARRB1_HUMAN	Beta-arrestin-1 (Arrestin beta-1) (Non-visual arrestin-2)	ARRB1 ARR1	Homo sapiens (Human)	418
P49411	reviewed	EFTU_HUMAN	Elongation factor Tu, mitochondrial, EF-Tu (P43)	TUFM	Homo sapiens (Human)	452
P49418	reviewed	AMPH_HUMAN	Amphiphysin	AMPH AMPH1	Homo sapiens (Human)	695
P49419	reviewed	AL7A1_HUMAN	Alpha-aminoadipic semialdehyde dehydrogenase, Alpha-AASA dehydrogenase, EC 1.2.1.31 (Aldehyde dehydrogenase family 7 member A1, EC 1.2.1.3) (Antiquitin-1) (Betaine aldehyde dehydrogenase, EC 1.2.1.8) (Delta1-piperideine-6-carboxylate dehydrogenase, P6c dehydrogenase)	ALDH7A1 ATQ1	Homo sapiens (Human)	539
P49427	reviewed	UB2R1_HUMAN	Ubiquitin-conjugating enzyme E2 R1, EC 2.3.2.23 ((E3-independent) E2 ubiquitin-conjugating enzyme R1, EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme R1) (Ubiquitin-conjugating enzyme E2-32 kDa complementing) (Ubiquitin-conjugating enzyme E2-CDC34) (Ubiquitin-protein ligase R1)	CDC34 UBCH3 UBE2R1	Homo sapiens (Human)	236
P49441	reviewed	INPP_HUMAN	Inositol polyphosphate 1-phosphatase, IPP, IPPase, EC 3.1.3.57	INPP1	Homo sapiens (Human)	399
P49447	reviewed	CY561_HUMAN	Transmembrane ascorbate-dependent reductase CYB561, EC 7.2.1.- (Cytochrome b-561) (Cytochrome b561)	CYB561	Homo sapiens (Human)	251
P49448	reviewed	DHE4_HUMAN	Glutamate dehydrogenase 2, mitochondrial, GDH 2, EC 1.4.1.3	GLUD2 GLUDP1	Homo sapiens (Human)	558
P49450	reviewed	CENPA_HUMAN	Histone H3-like centromeric protein A (Centromere autoantigen A) (Centromere protein A, CENP-A)	CENPA	Homo sapiens (Human)	140
P49454	reviewed	CENPF_HUMAN	Centromere protein F, CENP-F (AH antigen) (Kinetochore protein CENPF) (Mitosin)	CENPF	Homo sapiens (Human)	3114
P49458	reviewed	SRP09_HUMAN	Signal recognition particle 9 kDa protein, SRP9	SRP9	Homo sapiens (Human)	86
P49459	reviewed	UBE2A_HUMAN	Ubiquitin-conjugating enzyme E2 A, EC 2.3.2.23 (E2 ubiquitin-conjugating enzyme A) (RAD6 homolog A, HR6A, hHR6A) (Ubiquitin carrier protein A) (Ubiquitin-protein ligase A)	UBE2A RAD6A	Homo sapiens (Human)	152
P49585	reviewed	PCY1A_HUMAN	Choline-phosphate cytidylyltransferase A, EC 2.7.7.15 (CCT-alpha) (CTP:phosphocholine cytidylyltransferase A, CCT A, CT A) (Phosphorylcholine transferase A)	PCYT1A CTPCT PCYT1	Homo sapiens (Human)	367
P49588	reviewed	SYAC_HUMAN	Alanine--tRNA ligase, cytoplasmic, EC 6.1.1.7 (Alanyl-tRNA synthetase, AlaRS) (Renal carcinoma antigen NY-REN-42)	AARS1 AARS	Homo sapiens (Human)	968
P49589	reviewed	SYCC_HUMAN	Cysteine--tRNA ligase, cytoplasmic, EC 6.1.1.16 (Cysteinyl-tRNA synthetase, CysRS)	CARS1 CARS	Homo sapiens (Human)	748
P49590	reviewed	SYHM_HUMAN	Histidine--tRNA ligase, mitochondrial, EC 6.1.1.21 (Histidine--tRNA ligase-like) (Histidyl-tRNA synthetase, HisRS)	HARS2 HARSL HARSR HO3	Homo sapiens (Human)	506
P49591	reviewed	SYSC_HUMAN	Serine--tRNA ligase, cytoplasmic, EC 6.1.1.11 (Seryl-tRNA synthetase, SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	SARS1 SARS SERS	Homo sapiens (Human)	514
P49593	reviewed	PPM1F_HUMAN	Protein phosphatase 1F, EC 3.1.3.16 (Ca(2+)/calmodulin-dependent protein kinase phosphatase, CaM-kinase phosphatase, CaMKPase) (Partner of PIX 2) (Protein fem-2 homolog, hFem-2)	PPM1F KIAA0015 POPX2	Homo sapiens (Human)	454
P49619	reviewed	DGKG_HUMAN	Diacylglycerol kinase gamma, DAG kinase gamma, EC 2.7.1.107 (Diglyceride kinase gamma, DGK-gamma)	DGKG DAGK3	Homo sapiens (Human)	791
P49638	reviewed	TTPA_HUMAN	Alpha-tocopherol transfer protein, Alpha-TTP	TTPA TPP1	Homo sapiens (Human)	278
P49640	reviewed	EVX1_HUMAN	Homeobox even-skipped homolog protein 1 (EVX-1)	EVX1	Homo sapiens (Human)	407
P49641	reviewed	MA2A2_HUMAN	Alpha-mannosidase 2x, EC 3.2.1.114 (Alpha-mannosidase IIx, Man IIx) (Mannosidase alpha class 2A member 2) (Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase)	MAN2A2 MANA2X	Homo sapiens (Human)	1150
P49642	reviewed	PRI1_HUMAN	DNA primase small subunit, EC 2.7.7.102 (DNA primase 49 kDa subunit, p49)	PRIM1	Homo sapiens (Human)	420
P49643	reviewed	PRI2_HUMAN	DNA primase large subunit (DNA primase 58 kDa subunit, p58)	PRIM2 PRIM2A	Homo sapiens (Human)	509
P49662	reviewed	CASP4_HUMAN	Caspase-4, CASP-4, EC 3.4.22.57 (ICE and Ced-3 homolog 2, ICH-2) (ICE(rel)-II) (Mih1) (Protease TX) [Cleaved into: Caspase-4 subunit p10; Caspase-4 subunit p20 ]	CASP4 ICH2	Homo sapiens (Human)	377
P49674	reviewed	KC1E_HUMAN	Casein kinase I isoform epsilon, CKI-epsilon, CKIe, EC 2.7.11.1	CSNK1E	Homo sapiens (Human)	416
P49675	reviewed	STAR_HUMAN	Steroidogenic acute regulatory protein, mitochondrial, StAR (START domain-containing protein 1, StARD1)	STAR STARD1	Homo sapiens (Human)	285
P49682	reviewed	CXCR3_HUMAN	C-X-C chemokine receptor type 3, CXC-R3, CXCR-3 (CKR-L2) (G protein-coupled receptor 9) (Interferon-inducible protein 10 receptor, IP-10 receptor) (CD antigen CD183)	CXCR3 GPR9	Homo sapiens (Human)	368
P49683	reviewed	PRLHR_HUMAN	Prolactin-releasing peptide receptor, PrRP receptor, PrRPR (G-protein coupled receptor 10) (hGR3)	PRLHR GPR10 GR3	Homo sapiens (Human)	370
P49685	reviewed	GPR15_HUMAN	G-protein coupled receptor 15 (Brother of Bonzo, BoB)	GPR15	Homo sapiens (Human)	360
P49703	reviewed	ARL4D_HUMAN	ADP-ribosylation factor-like protein 4D (ADP-ribosylation factor-like protein 4L)	ARL4D ARF4L	Homo sapiens (Human)	201
P49711	reviewed	CTCF_HUMAN	Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog)	CTCF	Homo sapiens (Human)	727
P49715	reviewed	CEBPA_HUMAN	CCAAT/enhancer-binding protein alpha, C/EBP alpha	CEBPA CEBP	Homo sapiens (Human)	358
P49716	reviewed	CEBPD_HUMAN	CCAAT/enhancer-binding protein delta, C/EBP delta (Nuclear factor NF-IL6-beta, NF-IL6-beta)	CEBPD	Homo sapiens (Human)	269
P49720	reviewed	PSB3_HUMAN	Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain)	PSMB3	Homo sapiens (Human)	205
P49721	reviewed	PSB2_HUMAN	Proteasome subunit beta type-2 (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I)	PSMB2	Homo sapiens (Human)	201
P49736	reviewed	MCM2_HUMAN	DNA replication licensing factor MCM2 (Minichromosome maintenance protein 2 homolog) (Nuclear protein BM28)	MCM2 BM28 CCNL1 CDCL1 KIAA0030	Homo sapiens (Human)	904
P49746	reviewed	TSP3_HUMAN	Thrombospondin-3	THBS3 TSP3	Homo sapiens (Human)	956
P49747	reviewed	COMP_HUMAN	Cartilage oligomeric matrix protein, COMP (Thrombospondin-5, TSP5)	COMP	Homo sapiens (Human)	757
P49748	reviewed	ACADV_HUMAN	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial, VLCAD, EC 1.3.8.9	ACADVL VLCAD	Homo sapiens (Human)	655
P49750	reviewed	YLPM1_HUMAN	YLP motif-containing protein 1 (Nuclear protein ZAP3) (ZAP113)	YLPM1 C14orf170 ZAP3	Homo sapiens (Human)	2146
P49753	reviewed	ACOT2_HUMAN	Acyl-coenzyme A thioesterase 2, mitochondrial, Acyl-CoA thioesterase 2, EC 3.1.2.2 (Acyl-coenzyme A thioester hydrolase 2a) (CTE-Ia) (Long-chain acyl-CoA thioesterase 2) (ZAP128)	ACOT2 PTE2 PTE2A	Homo sapiens (Human)	483
P49754	reviewed	VPS41_HUMAN	Vacuolar protein sorting-associated protein 41 homolog (S53)	VPS41	Homo sapiens (Human)	854
P49755	reviewed	TMEDA_HUMAN	Transmembrane emp24 domain-containing protein 10, Protein TMED10 (21 kDa transmembrane-trafficking protein) (S31I125) (S31III125) (Tmp-21-I) (Transmembrane protein Tmp21) (p23) (p24 family protein delta-1, p24delta1) (p24delta)	TMED10 TMP21	Homo sapiens (Human)	219
P49756	reviewed	RBM25_HUMAN	RNA-binding protein 25 (Arg/Glu/Asp-rich protein of 120 kDa, RED120) (Protein S164) (RNA-binding motif protein 25) (RNA-binding region-containing protein 7)	RBM25 RNPC7	Homo sapiens (Human)	843
P49757	reviewed	NUMB_HUMAN	Protein numb homolog, h-Numb (Protein S171)	NUMB C14orf41	Homo sapiens (Human)	651
P49758	reviewed	RGS6_HUMAN	Regulator of G-protein signaling 6, RGS6 (S914)	RGS6	Homo sapiens (Human)	472
P49759	reviewed	CLK1_HUMAN	Dual specificity protein kinase CLK1, EC 2.7.12.1 (CDC-like kinase 1)	CLK1 CLK	Homo sapiens (Human)	484
P49760	reviewed	CLK2_HUMAN	Dual specificity protein kinase CLK2, EC 2.7.12.1 (CDC-like kinase 2)	CLK2	Homo sapiens (Human)	499
P49761	reviewed	CLK3_HUMAN	Dual specificity protein kinase CLK3, EC 2.7.12.1 (CDC-like kinase 3)	CLK3	Homo sapiens (Human)	638
P49763	reviewed	PLGF_HUMAN	Placenta growth factor, PlGF	PGF PGFL PLGF	Homo sapiens (Human)	221
P49765	reviewed	VEGFB_HUMAN	Vascular endothelial growth factor B, VEGF-B (VEGF-related factor, VRF)	VEGFB VRF	Homo sapiens (Human)	207
P49767	reviewed	VEGFC_HUMAN	Vascular endothelial growth factor C, VEGF-C (Flt4 ligand, Flt4-L) (Vascular endothelial growth factor-related protein, VRP)	VEGFC	Homo sapiens (Human)	419
P49768	reviewed	PSN1_HUMAN	Presenilin-1, PS-1, EC 3.4.23.- (Protein S182) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12, PS1-CTF12 ]	PSEN1 AD3 PS1 PSNL1	Homo sapiens (Human)	467
P49770	reviewed	EI2BB_HUMAN	Translation initiation factor eIF-2B subunit beta (S20I15) (S20III15) (eIF-2B GDP-GTP exchange factor subunit beta)	EIF2B2 EIF2BB	Homo sapiens (Human)	351
P49771	reviewed	FLT3L_HUMAN	Fms-related tyrosine kinase 3 ligand, Flt3 ligand, Flt3L (SL cytokine)	FLT3LG	Homo sapiens (Human)	235
P49773	reviewed	HINT1_HUMAN	Adenosine 5'-monophosphoramidase HINT1, EC 3.9.1.- (Desumoylating isopeptidase HINT1, EC 3.4.22.-) (Histidine triad nucleotide-binding protein 1) (Protein kinase C inhibitor 1) (Protein kinase C-interacting protein 1, PKCI-1)	HINT1 HINT PKCI1 PRKCNH1	Homo sapiens (Human)	126
P49788	reviewed	TIG1_HUMAN	Retinoic acid receptor responder protein 1 (Phorbol ester-induced gene 1 protein, PERG-1) (RAR-responsive protein TIG1) (Tazarotene-induced gene 1 protein)	RARRES1 PEIG1 TIG1	Homo sapiens (Human)	294
P49789	reviewed	FHIT_HUMAN	Bis(5'-adenosyl)-triphosphatase, EC 3.6.1.29 (AP3A hydrolase, AP3Aase) (Adenosine 5'-monophosphoramidase FHIT, EC 3.9.1.-) (Adenylylsulfatase, EC 3.6.2.1) (Adenylylsulfate-ammonia adenylyltransferase, EC 2.7.7.51) (Diadenosine 5',5'''-P1,P3-triphosphate hydrolase) (Dinucleosidetriphosphatase) (Fragile histidine triad protein)	FHIT	Homo sapiens (Human)	147
P49790	reviewed	NU153_HUMAN	Nuclear pore complex protein Nup153 (153 kDa nucleoporin) (Nucleoporin Nup153)	NUP153	Homo sapiens (Human)	1475
P49792	reviewed	RBP2_HUMAN	E3 SUMO-protein ligase RanBP2, EC 2.3.2.- (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2, RanBP2) (p270)	RANBP2 NUP358	Homo sapiens (Human)	3224
P49795	reviewed	RGS19_HUMAN	Regulator of G-protein signaling 19, RGS19 (G-alpha-interacting protein, GAIP)	RGS19 GAIP GNAI3IP	Homo sapiens (Human)	217
P49796	reviewed	RGS3_HUMAN	Regulator of G-protein signaling 3, RGP3, RGS3	RGS3	Homo sapiens (Human)	1198
P49798	reviewed	RGS4_HUMAN	Regulator of G-protein signaling 4, RGP4, RGS4	RGS4	Homo sapiens (Human)	205
P49802	reviewed	RGS7_HUMAN	Regulator of G-protein signaling 7, RGS7	RGS7	Homo sapiens (Human)	495
P49810	reviewed	PSN2_HUMAN	Presenilin-2, PS-2, EC 3.4.23.- (AD3LP) (AD5) (E5-1) (STM-2) [Cleaved into: Presenilin-2 NTF subunit; Presenilin-2 CTF subunit ]	PSEN2 AD4 PS2 PSNL2 STM2	Homo sapiens (Human)	448
P49815	reviewed	TSC2_HUMAN	Tuberin (Tuberous sclerosis 2 protein)	TSC2 TSC4	Homo sapiens (Human)	1807
P49821	reviewed	NDUV1_HUMAN	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial, EC 7.1.1.2 (Complex I-51kD, CI-51kD) (NADH dehydrogenase flavoprotein 1) (NADH-ubiquinone oxidoreductase 51 kDa subunit)	NDUFV1 UQOR1	Homo sapiens (Human)	464
P49840	reviewed	GSK3A_HUMAN	Glycogen synthase kinase-3 alpha, GSK-3 alpha, EC 2.7.11.26 (Serine/threonine-protein kinase GSK3A, EC 2.7.11.1)	GSK3A	Homo sapiens (Human)	483
P49841	reviewed	GSK3B_HUMAN	Glycogen synthase kinase-3 beta, GSK-3 beta, EC 2.7.11.26 (Serine/threonine-protein kinase GSK3B, EC 2.7.11.1)	GSK3B	Homo sapiens (Human)	420
P49842	reviewed	STK19_HUMAN	Serine/threonine-protein kinase 19, EC 2.7.11.1 (Protein G11) (Protein RP1)	STK19 G11 RP1	Homo sapiens (Human)	368
P49848	reviewed	TAF6_HUMAN	Transcription initiation factor TFIID subunit 6 (RNA polymerase II TBP-associated factor subunit E) (Transcription initiation factor TFIID 70 kDa subunit, TAF(II)70, TAFII-70, TAFII70) (Transcription initiation factor TFIID 80 kDa subunit, TAF(II)80, TAFII-80, TAFII80)	TAF6 TAF2E TAFII70	Homo sapiens (Human)	677
P49862	reviewed	KLK7_HUMAN	Kallikrein-7, hK7, EC 3.4.21.117 (Serine protease 6) (Stratum corneum chymotryptic enzyme, hSCCE)	KLK7 PRSS6 SCCE	Homo sapiens (Human)	253
P49863	reviewed	GRAK_HUMAN	Granzyme K, EC 3.4.21.- (Fragmentin-3) (Granzyme-3) (NK-tryptase-2, NK-Tryp-2)	GZMK TRYP2	Homo sapiens (Human)	264
P49888	reviewed	ST1E1_HUMAN	Sulfotransferase 1E1, ST1E1, EC 2.8.2.4 (EST-1) (Estrogen sulfotransferase) (Sulfotransferase, estrogen-preferring)	SULT1E1 STE	Homo sapiens (Human)	294
P49895	reviewed	IOD1_HUMAN	Type I iodothyronine deiodinase, EC 1.21.99.4 (5DI) (DIOI) (Type 1 DI) (Type-I 5'-deiodinase)	DIO1 ITDI1 TXDI1	Homo sapiens (Human)	249
P49901	reviewed	MCSP_HUMAN	Sperm mitochondrial-associated cysteine-rich protein	SMCP MCS MCSP	Homo sapiens (Human)	116
P49902	reviewed	5NTC_HUMAN	Cytosolic purine 5'-nucleotidase, EC 3.1.3.5, EC 3.1.3.99 (Cytosolic 5'-nucleotidase II, cN-II) (Cytosolic IMP/GMP-specific 5'-nucleotidase) (Cytosolic nucleoside phosphotransferase 5'N, EC 2.7.1.77) (High Km 5'-nucleotidase)	NT5C2 NT5B NT5CP PNT5	Homo sapiens (Human)	561
P49903	reviewed	SPS1_HUMAN	Selenide, water dikinase 1, EC 2.7.9.3 (Selenium donor protein 1) (Selenophosphate synthase 1)	SEPHS1 SELD SPS SPS1	Homo sapiens (Human)	392
P49908	reviewed	SEPP1_HUMAN	Selenoprotein P, SeP	SELENOP SELP SEPP1	Homo sapiens (Human)	381
P49910	reviewed	ZN165_HUMAN	Zinc finger protein 165 (Cancer/testis antigen 53, CT53) (LD65) (Zinc finger and SCAN domain-containing protein 7)	ZNF165 ZPF165 ZSCAN7	Homo sapiens (Human)	485
P49913	reviewed	CAMP_HUMAN	Cathelicidin antimicrobial peptide (18 kDa cationic antimicrobial protein, CAP-18, hCAP-18) [Cleaved into: Antibacterial peptide FALL-39 (FALL-39 peptide antibiotic); Antibacterial peptide LL-37 ]	CAMP CAP18 FALL39 HSD26	Homo sapiens (Human)	170
P49914	reviewed	MTHFS_HUMAN	5-formyltetrahydrofolate cyclo-ligase, EC 6.3.3.2 (5,10-methenyl-tetrahydrofolate synthetase, MTHFS, Methenyl-THF synthetase)	MTHFS	Homo sapiens (Human)	203
P49915	reviewed	GUAA_HUMAN	GMP synthase [glutamine-hydrolyzing], EC 6.3.5.2 (GMP synthetase) (Glutamine amidotransferase)	GMPS	Homo sapiens (Human)	693
P49916	reviewed	DNLI3_HUMAN	DNA ligase 3, EC 6.5.1.1 (DNA ligase III) (Polydeoxyribonucleotide synthase [ATP] 3)	LIG3	Homo sapiens (Human)	1009
P49917	reviewed	DNLI4_HUMAN	DNA ligase 4, EC 6.5.1.1 (DNA ligase IV) (Polydeoxyribonucleotide synthase [ATP] 4)	LIG4	Homo sapiens (Human)	911
P49918	reviewed	CDN1C_HUMAN	Cyclin-dependent kinase inhibitor 1C (Cyclin-dependent kinase inhibitor p57) (p57Kip2)	CDKN1C KIP2	Homo sapiens (Human)	316
P49959	reviewed	MRE11_HUMAN	Double-strand break repair protein MRE11, EC 3.1.-.- (Double-strand break repair protein MRE11A) (Meiotic recombination 11 homolog 1, MRE11 homolog 1) (Meiotic recombination 11 homolog A, MRE11 homolog A)	MRE11 HNGS1 MRE11A	Homo sapiens (Human)	708
P49961	reviewed	ENTP1_HUMAN	Ectonucleoside triphosphate diphosphohydrolase 1, NTPDase 1, EC 3.6.1.5 (Ecto-ATP diphosphohydrolase 1, Ecto-ATPDase 1, Ecto-ATPase 1) (Ecto-apyrase) (Lymphoid cell activation antigen) (CD antigen CD39)	ENTPD1 CD39	Homo sapiens (Human)	510
P50052	reviewed	AGTR2_HUMAN	Type-2 angiotensin II receptor (Angiotensin II type-2 receptor, AT2)	AGTR2	Homo sapiens (Human)	363
P50053	reviewed	KHK_HUMAN	Ketohexokinase, EC 2.7.1.3 (Hepatic fructokinase)	KHK	Homo sapiens (Human)	298
P50135	reviewed	HNMT_HUMAN	Histamine N-methyltransferase, HMT, EC 2.1.1.8	HNMT	Homo sapiens (Human)	292
P50148	reviewed	GNAQ_HUMAN	Guanine nucleotide-binding protein G(q) subunit alpha (Guanine nucleotide-binding protein alpha-q)	GNAQ GAQ	Homo sapiens (Human)	359
P50150	reviewed	GBG4_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4	GNG4 GNGT4	Homo sapiens (Human)	75
P50151	reviewed	GBG10_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10	GNG10 GNGT10	Homo sapiens (Human)	68
P50213	reviewed	IDH3A_HUMAN	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial, EC 1.1.1.41 (Isocitric dehydrogenase subunit alpha) (NAD(+)-specific ICDH subunit alpha)	IDH3A	Homo sapiens (Human)	366
P50219	reviewed	MNX1_HUMAN	Motor neuron and pancreas homeobox protein 1 (Homeobox protein HB9)	MNX1 HLXB9	Homo sapiens (Human)	401
P50221	reviewed	MEOX1_HUMAN	Homeobox protein MOX-1 (Mesenchyme homeobox 1)	MEOX1 MOX1	Homo sapiens (Human)	254
P50222	reviewed	MEOX2_HUMAN	Homeobox protein MOX-2 (Growth arrest-specific homeobox) (Mesenchyme homeobox 2)	MEOX2 GAX MOX2	Homo sapiens (Human)	304
P50225	reviewed	ST1A1_HUMAN	Sulfotransferase 1A1, ST1A1, EC 2.8.2.1 (Aryl sulfotransferase 1) (HAST1/HAST2) (Phenol sulfotransferase 1) (Phenol-sulfating phenol sulfotransferase 1, P-PST 1) (ST1A3) (Thermostable phenol sulfotransferase, Ts-PST)	SULT1A1 STP STP1 OK/SW-cl.88	Homo sapiens (Human)	295
P50226	reviewed	ST1A2_HUMAN	Sulfotransferase 1A2, ST1A2, EC 2.8.2.1 (Aryl sulfotransferase 2) (Phenol sulfotransferase 2) (Phenol-sulfating phenol sulfotransferase 2, P-PST 2)	SULT1A2 STP2	Homo sapiens (Human)	295
P50238	reviewed	CRIP1_HUMAN	Cysteine-rich protein 1, CRP-1 (Cysteine-rich heart protein, CRHP, hCRHP) (Cysteine-rich intestinal protein, CRIP)	CRIP1 CRIP CRP1	Homo sapiens (Human)	77
P50281	reviewed	MMP14_HUMAN	Matrix metalloproteinase-14, MMP-14, EC 3.4.24.80 (MMP-X1) (Membrane-type matrix metalloproteinase 1, MT-MMP 1, MTMMP1) (Membrane-type-1 matrix metalloproteinase, MT1-MMP, MT1MMP)	MMP14	Homo sapiens (Human)	582
P50336	reviewed	PPOX_HUMAN	Protoporphyrinogen oxidase, PPO, EC 1.3.3.4	PPOX	Homo sapiens (Human)	477
P50391	reviewed	NPY4R_HUMAN	Neuropeptide Y receptor type 4, NPY4-R (Pancreatic polypeptide receptor 1, PP1)	NPY4R PPYR1	Homo sapiens (Human)	375
P50395	reviewed	GDIB_HUMAN	Rab GDP dissociation inhibitor beta, Rab GDI beta (Guanosine diphosphate dissociation inhibitor 2, GDI-2)	GDI2 RABGDIB	Homo sapiens (Human)	445
P50402	reviewed	EMD_HUMAN	Emerin	EMD EDMD STA	Homo sapiens (Human)	254
P50406	reviewed	5HT6R_HUMAN	5-hydroxytryptamine receptor 6, 5-HT-6, 5-HT6 (Serotonin receptor 6)	HTR6	Homo sapiens (Human)	440
P50416	reviewed	CPT1A_HUMAN	Carnitine O-palmitoyltransferase 1, liver isoform, CPT1-L, EC 2.3.1.21 (Carnitine O-palmitoyltransferase I, liver isoform, CPT I, CPTI-L) (Carnitine palmitoyltransferase 1A)	CPT1A CPT1	Homo sapiens (Human)	773
P50440	reviewed	GATM_HUMAN	Glycine amidinotransferase, mitochondrial, EC 2.1.4.1 (L-arginine:glycine amidinotransferase) (Transamidinase)	GATM AGAT	Homo sapiens (Human)	423
P50443	reviewed	S26A2_HUMAN	Sulfate transporter (Diastrophic dysplasia protein) (Solute carrier family 26 member 2)	SLC26A2 DTD DTDST	Homo sapiens (Human)	739
P50452	reviewed	SPB8_HUMAN	Serpin B8 (Cytoplasmic antiproteinase 2, CAP-2, CAP2) (Peptidase inhibitor 8, PI-8)	SERPINB8 PI8	Homo sapiens (Human)	374
P50453	reviewed	SPB9_HUMAN	Serpin B9 (Cytoplasmic antiproteinase 3, CAP-3, CAP3) (Peptidase inhibitor 9, PI-9)	SERPINB9 PI9	Homo sapiens (Human)	376
P50454	reviewed	SERPH_HUMAN	Serpin H1 (47 kDa heat shock protein) (Arsenic-transactivated protein 3, AsTP3) (Cell proliferation-inducing gene 14 protein) (Collagen-binding protein, Colligin) (Rheumatoid arthritis-related antigen RA-A47)	SERPINH1 CBP1 CBP2 HSP47 SERPINH2 PIG14	Homo sapiens (Human)	418
P50458	reviewed	LHX2_HUMAN	LIM/homeobox protein Lhx2, Homeobox protein LH-2, LIM homeobox protein 2	LHX2 LH2	Homo sapiens (Human)	406
P50461	reviewed	CSRP3_HUMAN	Cysteine and glycine-rich protein 3 (Cardiac LIM protein) (Cysteine-rich protein 3, CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	CSRP3 CLP MLP	Homo sapiens (Human)	194
P50479	reviewed	PDLI4_HUMAN	PDZ and LIM domain protein 4 (LIM protein RIL) (Reversion-induced LIM protein)	PDLIM4 RIL	Homo sapiens (Human)	330
P50502	reviewed	F10A1_HUMAN	Hsc70-interacting protein, Hip (Aging-associated protein 2) (Progesterone receptor-associated p48 protein) (Protein FAM10A1) (Putative tumor suppressor ST13) (Renal carcinoma antigen NY-REN-33) (Suppression of tumorigenicity 13 protein)	ST13 AAG2 FAM10A1 HIP SNC6	Homo sapiens (Human)	369
P50539	reviewed	MXI1_HUMAN	Max-interacting protein 1, Max interactor 1 (Class C basic helix-loop-helix protein 11, bHLHc11)	MXI1 BHLHC11	Homo sapiens (Human)	228
P50542	reviewed	PEX5_HUMAN	Peroxisomal targeting signal 1 receptor, PTS1 receptor, PTS1R (PTS1-BP) (Peroxin-5) (Peroxisomal C-terminal targeting signal import receptor) (Peroxisome receptor 1)	PEX5 PXR1	Homo sapiens (Human)	639
P50548	reviewed	ERF_HUMAN	ETS domain-containing transcription factor ERF (Ets2 repressor factor) (PE-2)	ERF	Homo sapiens (Human)	548
P50549	reviewed	ETV1_HUMAN	ETS translocation variant 1 (Ets-related protein 81)	ETV1 ER81	Homo sapiens (Human)	477
P50552	reviewed	VASP_HUMAN	Vasodilator-stimulated phosphoprotein, VASP	VASP	Homo sapiens (Human)	380
P50553	reviewed	ASCL1_HUMAN	Achaete-scute homolog 1, ASH-1, hASH1 (Class A basic helix-loop-helix protein 46, bHLHa46)	ASCL1 ASH1 BHLHA46 HASH1	Homo sapiens (Human)	236
P50570	reviewed	DYN2_HUMAN	Dynamin-2, EC 3.6.5.5	DNM2 DYN2	Homo sapiens (Human)	870
P50579	reviewed	MAP2_HUMAN	Methionine aminopeptidase 2, MAP 2, MetAP 2, EC 3.4.11.18 (Initiation factor 2-associated 67 kDa glycoprotein, p67, p67eIF2) (Peptidase M)	METAP2 MNPEP P67EIF2	Homo sapiens (Human)	478
P50583	reviewed	AP4A_HUMAN	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical], EC 3.6.1.17 (Diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase, Ap4A hydrolase, Ap4Aase, Diadenosine tetraphosphatase) (Nucleoside diphosphate-linked moiety X motif 2, Nudix motif 2)	NUDT2 APAH1	Homo sapiens (Human)	147
P50591	reviewed	TNF10_HUMAN	Tumor necrosis factor ligand superfamily member 10 (Apo-2 ligand, Apo-2L) (TNF-related apoptosis-inducing ligand, Protein TRAIL) (CD antigen CD253)	TNFSF10 APO2L TRAIL	Homo sapiens (Human)	281
